CustomerID,Age,MonthlyCharges,Tenure,InternetService,Contract,Churn
1,56,71,67,DSL,Two year,No
2,69,21,47,DSL,Month-to-month,No
3,46,72,62,Fiber optic,Two year,Yes
4,32,86,11,DSL,One year,No
5,60,30,13,DSL,Month-to-month,Yes
6,25,30,13,DSL,Two year,No
7,38,29,42,DSL,One year,Yes
8,56,47,62,Fiber optic,One year,No
9,36,30,14,No,One year,No
10,40,26,55,Fiber optic,Month-to-month,Yes
11,28,48,25,DSL,Two year,No
12,28,84,40,DSL,Month-to-month,No
13,41,71,22,DSL,Two year,Yes
14,53,34,16,DSL,Two year,No
15,57,26,19,Fiber optic,One year,Yes
16,41,87,10,Fiber optic,One year,Yes
17,20,74,13,No,Two year,Yes
18,39,22,4,DSL,Two year,Yes
19,19,39,1,DSL,Month-to-month,Yes
20,41,22,66,DSL,One year,Yes
21,61,48,72,No,Two year,Yes
22,47,39,62,No,Two year,Yes
23,55,29,65,DSL,Month-to-month,No
24,19,80,56,DSL,Month-to-month,Yes
25,38,56,50,No,Month-to-month,No
26,50,70,45,Fiber optic,Two year,No
27,29,61,29,Fiber optic,Two year,No
28,39,92,61,Fiber optic,Two year,No
29,61,94,49,DSL,Two year,No
30,42,49,39,No,One year,No
31,66,64,47,Fiber optic,One year,No
32,44,43,41,Fiber optic,Month-to-month,Yes
33,59,50,17,DSL,One year,No
34,45,42,63,DSL,One year,No
35,33,72,53,DSL,Two year,Yes
36,32,61,8,No,One year,No
37,64,55,32,No,Two year,No
38,68,53,7,Fiber optic,Two year,Yes
39,61,45,48,Fiber optic,One year,No
40,69,90,46,No,Two year,No
41,20,44,60,DSL,One year,No
42,54,22,47,Fiber optic,One year,Yes
43,68,62,43,Fiber optic,Month-to-month,No
44,24,25,61,Fiber optic,Month-to-month,No
45,38,73,45,DSL,Two year,No
46,26,71,64,Fiber optic,Two year,Yes
47,56,32,4,Fiber optic,One year,No
48,35,85,63,Fiber optic,One year,Yes
49,21,75,57,No,Two year,Yes
50,42,66,35,DSL,One year,Yes
51,31,96,14,No,Month-to-month,No
52,67,84,52,DSL,Two year,Yes
53,26,85,41,DSL,Month-to-month,Yes
54,43,87,62,No,One year,Yes
55,19,32,64,No,One year,No
56,37,49,63,No,One year,No
57,45,95,30,No,Month-to-month,No
58,64,52,28,DSL,Two year,Yes
59,24,57,58,DSL,One year,Yes
60,61,62,2,Fiber optic,Two year,No
61,25,22,31,Fiber optic,Two year,Yes
62,64,62,51,Fiber optic,Two year,No
63,52,92,35,Fiber optic,One year,No
64,31,90,24,No,Month-to-month,Yes
65,34,23,32,Fiber optic,One year,Yes
66,53,51,19,DSL,Month-to-month,Yes
67,67,20,5,DSL,Two year,No
68,57,32,65,DSL,Month-to-month,No
69,21,55,24,DSL,Month-to-month,Yes
70,19,45,16,No,Month-to-month,Yes
71,23,96,32,No,Two year,No
72,59,41,45,No,Month-to-month,No
73,21,30,7,No,One year,No
74,46,44,21,Fiber optic,Month-to-month,No
75,35,98,53,Fiber optic,Two year,Yes
76,43,64,2,DSL,Month-to-month,No
77,61,55,39,Fiber optic,Month-to-month,Yes
78,51,53,9,No,Two year,Yes
79,27,53,47,DSL,Two year,Yes
80,53,51,65,Fiber optic,Two year,No
81,31,44,31,DSL,One year,Yes
82,48,86,43,No,One year,Yes
83,65,78,69,No,Two year,No
84,32,76,67,No,Month-to-month,Yes
85,25,48,55,No,Month-to-month,No
86,31,40,67,Fiber optic,One year,No
87,40,92,34,Fiber optic,One year,No
88,57,40,43,No,One year,Yes
89,38,90,42,No,Month-to-month,Yes
90,33,66,57,Fiber optic,One year,No
91,62,51,42,No,Month-to-month,Yes
92,35,41,56,DSL,One year,No
93,64,61,22,Fiber optic,Month-to-month,Yes
94,41,30,55,DSL,Two year,Yes
95,43,77,23,Fiber optic,One year,Yes
96,42,97,70,DSL,Month-to-month,Yes
97,62,60,72,Fiber optic,Month-to-month,No
98,58,44,57,No,Month-to-month,No
99,46,35,7,No,One year,No
100,32,85,4,DSL,Two year,No
101,62,89,57,DSL,Two year,Yes
102,18,53,2,Fiber optic,Two year,Yes
103,42,65,32,No,Two year,No
104,24,67,45,No,One year,Yes
105,26,56,35,Fiber optic,Month-to-month,Yes
106,41,41,5,Fiber optic,Month-to-month,No
107,18,99,36,DSL,One year,No
108,61,26,66,Fiber optic,Month-to-month,No
109,25,66,70,Fiber optic,One year,No
110,41,96,58,No,Month-to-month,No
111,28,36,5,DSL,Two year,Yes
112,68,22,70,DSL,Month-to-month,No
113,34,31,61,Fiber optic,Month-to-month,Yes
114,25,89,1,Fiber optic,Month-to-month,Yes
115,52,95,66,No,One year,No
116,52,94,55,DSL,One year,Yes
117,50,38,42,DSL,Two year,Yes
118,22,50,68,Fiber optic,One year,Yes
119,59,21,8,DSL,One year,No
120,56,37,21,No,Month-to-month,No
121,58,74,64,DSL,One year,Yes
122,45,23,53,Fiber optic,Month-to-month,Yes
123,24,41,12,DSL,Two year,Yes
124,26,97,44,DSL,Two year,Yes
125,25,97,15,Fiber optic,One year,No
126,29,53,16,Fiber optic,Two year,Yes
127,51,67,5,DSL,Month-to-month,No
128,50,89,56,No,Month-to-month,Yes
129,65,95,22,Fiber optic,One year,Yes
130,40,43,45,Fiber optic,Two year,No
131,41,64,15,Fiber optic,Two year,No
132,54,29,61,Fiber optic,One year,Yes
133,52,65,58,DSL,Two year,Yes
134,61,55,43,DSL,One year,Yes
135,57,70,17,Fiber optic,One year,Yes
136,39,51,10,No,One year,Yes
137,44,51,56,DSL,Month-to-month,Yes
138,52,34,30,No,One year,Yes
139,18,28,34,DSL,One year,No
