,Appliances,Consumption
0,13,306.6656055804404
1,16,370.992819249836
2,1,57.640525485912114
3,4,130.96576697530355
4,4,133.8954304098027
5,8,209.1451766622136
6,10,236.2033462120886
7,20,451.21158177525075
8,19,449.0147696908865
9,5,144.55961931022998
10,7,191.03043938695998
11,13,316.79378005806154
12,2,92.16231674057457
13,7,192.75204178605446
14,8,211.41795274375244
15,15,354.9243013516391
16,18,411.7125166465497
17,6,162.23163000571313
18,14,324.6007137977111
19,9,234.7469341076535
20,10,243.84039079525283
21,20,449.03947744264724
22,17,384.88051317138405
23,20,457.6555655715398
24,6,178.88318532531505
25,16,372.3116031907195
26,16,370.3569782811728
27,1,72.35715546336574
28,19,429.01318392830746
29,4,133.0564140304298
30,18,416.45951303950903
31,20,466.9833316923314
32,20,439.7244914612282
33,20,456.9239721012476
34,15,354.1584521124917
35,8,216.28603597485952
36,1,43.161160417206986
37,2,72.91182729355938
38,10,252.75166470914726
39,1,71.83968401973672
40,11,274.3449306786406
41,4,110.63584566342999
42,12,274.2977887480051
43,19,448.3764448228881
44,3,107.45716212390677
45,1,77.81136694129339
46,1,68.82130026233415
47,5,135.26709005395128
48,6,168.76518728998462
49,7,188.03361638204055
50,9,227.8819788112452
51,18,402.78384719879557
52,16,373.23734808983824
53,5,147.8199580368777
54,10,253.17200469748096
55,11,257.92681796326286
56,2,82.04872659292678
57,2,98.56138041146377
58,8,186.16638556652762
59,10,243.38162928552143
60,4,137.70389152885926
61,7,209.61844528392243
62,12,299.1259473362217
63,15,350.1348803138346
64,19,438.51719907764635
65,1,54.23933578698403
66,15,337.08790473183103
67,4,140.8333644920911
68,13,289.33593993250605
69,11,267.0200935998767
70,12,291.65847341933375
71,5,147.43869218619633
72,7,189.1186381517812
73,5,133.12703181118897
74,16,382.8038262587916
75,4,134.06293915369307
76,13,311.5459660574833
77,5,170.83505438653665
78,9,227.01115857766325
79,15,339.4548987217158
80,16,394.66221393627416
81,4,152.0237404975972
82,16,349.11811473805545
83,14,354.2586717545661
84,17,394.7768563822762
85,18,402.71728226243926
86,6,171.4235415296131
87,10,267.57645752158123
88,4,137.82057828928026
89,1,51.877220238509125
90,6,184.87366134120228
91,1,60.92558392749416
92,18,392.66247260847007
93,19,451.9342212154354
94,5,156.45481504872978
95,3,104.55495610651266
96,17,393.0443485551253
97,4,128.13903012839302
98,3,113.76132878019978
99,11,261.4179138133892
100,14,332.77801687999965
101,17,393.52493614630754
102,8,200.44561776761532
103,10,227.8598859692456
104,1,76.69957012169252
105,11,271.57319492131717
106,19,407.182381694409
107,12,284.6028023181771
